class,file,number,odd,gap,elapsed,fixNum,gazes,fixavglen,sacavglen,saclen,rec,det,lam,corm,coverage5,coverage7,coverage10
L,B1051,10,1,28,2061,1,125,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,B1051,11,2,36,2981,6,169,444.5,5.534483033664575,33.20689820198745,0.0,0.0,0.0,0.0,0.12,0.08163265306122448,0.05
L,B1051,12,1,1425,6032,6,199,562.1666666666666,6.353556958597307,38.12134175158384,3.0773791876667653,0.0,100.0,0.6154758375333531,0.2,0.10204081632653061,0.05
L,B1051,13,2,19,1444,2,87,690.5,3.4200001567509015,6.840000313501803,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,B1051,14,1,23,2945,4,177,685.5,5.4798853727847625,21.91954149113905,0.0,0.0,0.0,0.0,0.16,0.08163265306122448,0.04
L,B1051,15,2,21,929,1,56,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,B1051,16,1,20,895,1,54,882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,B1051,17,2,22,1053,1,64,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,B1051,18,1,22,1406,2,85,674.5,2.946779921154736,5.893559842309472,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,B1051,19,2,58,1700,2,102,778.0,2.144735481004697,4.289470962009394,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.02
L,B1051,2,1,133,6042,6,173,828.5,5.438869105741965,32.63321463445179,12.580969623818145,0.0,0.0,5.032387849527258,0.12,0.08163265306122448,0.05
L,B1051,20,1,24,6036,6,363,957.5,6.375415314822738,38.252491888936426,0.0,0.0,0.0,0.0,0.16,0.08163265306122448,0.06
L,B1051,21,2,23,2441,4,147,558.5,6.005662726110817,24.022650904443267,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.04
L,B1051,22,1,19,958,3,58,273.0,4.2741801614809445,12.822540484442833,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.03
L,B1051,23,2,21,830,2,50,386.0,2.565473284010174,5.130946568020348,0.0,0.0,0.0,0.0,0.04,0.04081632653061224,0.02
L,B1051,3,2,117,8673,11,415,702.0909090909091,4.981552138665945,54.797073525325395,1.7739220510164446,0.0,99.99999999999999,0.17739220510164444,0.28,0.1836734693877551,0.08
L,B1051,4,1,25,3639,2,219,1789.0,3.6706450297808044,7.341290059561609,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,B1051,5,2,87,2142,2,128,1041.5,1.9509962227559219,3.9019924455118438,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.02
L,B1051,6,1,27,2353,4,142,547.0,3.935067779324554,15.740271117298215,0.0,0.0,0.0,0.0,0.12,0.061224489795918366,0.03
L,B1051,7,2,20,1532,1,93,1532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.01
L,B1051,8,1,22,1332,3,80,400.6666666666667,5.378030122062229,16.134090366186687,0.0,0.0,0.0,0.0,0.08,0.04081632653061224,0.03
L,B1051,9,2,23,1206,2,73,566.0,1.9178132798116758,3.8356265596233516,0.0,0.0,0.0,0.0,0.04,0.02040816326530612,0.02
L,B1728,0,1,397,6079,10,319,526.3,8.02774815096199,80.2774815096199,9.922519897819157,0.0,0.0,5.098017138045005,0.16,0.08163265306122448,0.07
L,B1728,1,2,420,11022,19,568,437.5263157894737,7.285252030774247,138.4197885847107,6.490503495194942,20.253294892915978,0.0,2.0204484126453734,0.2,0.20408163265306123,0.12
L,B1728,10,1,163,6033,13,347,394.38461538461536,7.173700107844386,93.25810140197702,9.066380599440867,0.0,0.0,3.6691643369525173,0.2,0.16326530612244897,0.11
L,B1728,11,2,1030,11028,23,557,320.4782608695652,6.942493752632435,159.677356310546,2.0905020905020906,0.0,0.0,1.1788996637481486,0.36,0.2857142857142857,0.16
L,B1728,12,1,1136,6031,9,252,396.1111111111111,4.528473580893019,40.75626222803717,13.341514726507715,0.0,0.0,6.769372370266479,0.16,0.08163265306122448,0.07
L,B1728,13,2,157,11037,13,649,794.5384615384615,8.256930307108743,107.34009399241364,2.647884596766386,0.0,0.0,0.9641139832833123,0.32,0.16326530612244897,0.11
L,B1728,14,1,562,6034,10,328,474.9,5.426478423143996,54.264784231439954,3.2287499122622307,0.0,0.0,1.076249970754077,0.24,0.14285714285714285,0.09
L,B1728,15,2,414,11021,17,583,506.4117647058824,7.55727683752408,128.47370623790937,6.942589150888605,0.0,0.0,3.866593100243931,0.32,0.16326530612244897,0.11
L,B1728,16,1,158,6036,12,347,424.5,8.520217367728891,102.24260841274669,3.587107827390513,0.0,0.0,1.9213983717677903,0.2,0.16326530612244897,0.08
L,B1728,17,2,160,11028,25,627,341.36,7.808353581966556,195.2088395491639,1.3421802984141864,0.0,53.54674427064386,0.23936118272009999,0.36,0.2653061224489796,0.18
L,B1728,18,1,713,6028,14,259,228.07142857142858,9.652714562203224,135.13800387084513,5.791515093112337,44.42595673876872,0.0,1.634677928975551,0.32,0.22448979591836735,0.11
L,B1728,19,2,174,11037,21,638,451.6190476190476,8.456951318240005,177.5959776830401,3.434204976803037,0.0,0.0,0.9241617460986925,0.4,0.20408163265306123,0.15
