1476622992913,1177,662
1476622992933,1177,653
1476622992943,1177,654
1476622992963,1171,649
1476622992994,1170,649
1476622993005,1165,648
1476622993024,-378,0
1476622993034,1167,645
1476622993055,-378,0
1476622993074,1160,638
1476622993086,1160,633
1476622993105,1153,630
1476622993115,1149,629
1476622993135,1151,630
1476622993166,1138,621
1476622993166,1137,632
1476622993194,-378,0
1476622993194,1134,635
1476622993216,1140,634
1476622993225,-378,0
1476622993245,1132,639
1476622993275,1129,634
1476622993288,1131,634
1476622993307,1129,633
1476622993319,1131,638
1476622993338,890,573
1476622993357,778,629
1476622993368,824,622
1476622993388,829,610
1476622993395,827,606
1476622993418,825,605
1476622993425,833,611
1476622993445,833,613
1476622993475,834,604
1476622993475,858,601
1476622993495,1201,595
1476622993525,1260,615
1476622993525,1220,623
1476622993557,1205,603
1476622993569,1143,585
1476622993587,1055,573
1476622993607,773,494
1476622993618,696,535
1476622993636,740,508
1476622993645,740,515
1476622993667,728,525
1476622993675,732,529
1476622993695,727,519
1476622993725,731,523
1476622993725,734,511
1476622993745,735,510
1476622993756,739,502
1476622993775,747,501
1476622993807,751,499
1476622993818,753,499
1476622993837,753,495
1476622993845,751,495
1476622993868,749,495
1476622993877,746,500
1476622993900,742,500
1476622993908,742,500
1476622993928,742,501
1476622993951,750,498
1476622993958,1401,516
1476622993978,1583,477
1476622994008,1619,492
1476622994009,1631,504
1476622994038,1636,510
1476622994038,1640,512
1476622994068,1640,510
1476622994088,1650,503
1476622994088,1650,503
1476622994118,1652,497
1476622994128,1649,502
1476622994148,1644,501
1476622994159,1641,503
1476622994179,1634,501
1476622994199,1642,503
1476622994209,1641,504
1476622994229,1647,502
1476622994239,1649,500
1476622994259,1647,499
1476622994289,1015,543
1476622994289,692,461
1476622994319,689,471
1476622994319,694,489
1476622994339,702,499
1476622994369,702,494
1476622994369,661,495
1476622994399,691,500
